ADDRESS_DESCRIPTION,CITY,CLEARANCE_DATE,CLEARANCE_DETAIL_STATUS,CLEARANCE_STATUS,CMPD_PATROL_DIVISION,DATE_INCIDENT_BEGAN,DATE_INCIDENT_END,DATE_REPORTED,DIVISION_ID,GlobalID,HIGHEST_NIBRS_CODE,HIGHEST_NIBRS_DESCRIPTION,INCIDENT_REPORT_ID,LATITUDE_PUBLIC,LOCATION,LOCATION_TYPE_DESCRIPTION,LONGITUDE_PUBLIC,NPA,OBJECTID,PLACE_DETAIL_DESCRIPTION,PLACE_TYPE_DESCRIPTION,STATE,X_COORD_PUBLIC,YEAR,Y_COORD_PUBLIC,ZIP,geometry_type,coordinates_lon,coordinates_lat,coordinates_json
Location of occurrence,CHARLOTTE,1656201600000,Cleared by Arrest,Cleared by Arrest,Hickory Grove,1656201600000,1656201600000,1656201600000,12,{D536DC71-C1AE-4429-A7CE-0E3889AC0B91},90Z,All Other Offenses,20220626-1647-05,35.20014,6400 WOODBEND DR,Indoors,-80.739058,316,71,Apartment/Duplex Private Res,Residential,NC,1480514,2022,532318,,Point,-80.7390575799535,35.20013976495465,
Location of occurrence,CHARLOTTE,1616371200000,Cleared by Arrest,Cleared by Arrest,Metro,1610496000000,,1610582400000,02,{FC993137-37F3-4ADA-9491-A4C30A0610FD},13C,Intimidation,20210114-0915-00,35.237077,1200 N TRYON ST,Outdoors,-80.829768,157,72,Shelter-Mission/Homeless,Residential,NC,1453668,2021,546246,28205,Point,-80.82976808515028,35.23707731003638,
Location of occurrence,CHARLOTTE,1570492800000,Cleared by Arrest,Cleared by Arrest,University City,1570492800000,1570492800000,1570492800000,14,{40F1B207-42BE-48A0-A9E4-1FF64889EAF6},23C,Shoplifting,20191008-1440-02,35.293641,8100 UNIVERSITY CITY BV,Indoors,-80.748001,219,73,Department Store,Retail,NC,1478442,2019,566389,28262,Point,-80.74800066496135,35.29364086202226,
Location where officer took report,CHARLOTTE,,Open,Open,University City,1727308800000,,1731369600000,14,{1AC20E55-8B98-475A-A0D7-B8FD3A26F8EB},26A,False Pretenses/Swindle,20241112-2130-01,35.295357,13300 ASHLEY MEADOW DR,Indoors,-80.690827,377,74,Private Residence,Residential,NC,1495510,2024,566718,28213,Point,-80.69082732394966,35.295356935223886,
Location of occurrence,CHARLOTTE,,Open,Open,North,1558742400000,,1558742400000,11,{10983502-ECDE-4BE0-80DD-C4F0508A33EF},90Z,All Other Offenses,20190525-1202-05,35.330685,9300 CHASTAIN WALK DR,Outdoors,-80.933658,110,75,Private Residence,Residential,NC,1423316,2019,580896,,Point,-80.93365781530034,35.330685314226066,
Location of occurrence,CHARLOTTE,,Open,Open,Independence,1492992000000,1493078400000,1493078400000,17,{285D4F1A-AC01-46C2-AED5-74AA6A7EBDA0},23F,Theft From Motor Vehicle,20170425-0725-00,35.162682,1600 CHASEWOOD DR,Parking Lot,-80.752451,246,76,Apartment/Duplex Private Res,Residential,NC,1476273,2017,518758,28212,Point,-80.75245075167486,35.162681961622404,
Location of occurrence,CHARLOTTE,,Open,Open,Central,1565913600000,1565913600000,1565913600000,01,{7D2B663E-8F1B-4765-AECA-7F142E0C1F57},23F,Theft From Motor Vehicle,20190816-0438-01,35.223788,200 S BREVARD ST,Parking Lot,-80.841164,476,77,Street/Highway,Open Area,NC,1450176,2019,541473,,Point,-80.8411643199715,35.2237875395659,
Location of occurrence,CHARLOTTE,,Open,Open,Providence,1706054400000,1706054400000,1706140800000,16,{880D693E-AFFB-4855-8A3F-4EDBB68DF972},23C,Shoplifting,20240125-2018-00,35.193837,1200 N WENDOVER RD,Indoors,-80.794439,370,78,Other - Retail,Retail,NC,1463931,2024,530319,28211,Point,-80.79443880953394,35.19383712787503,
Location of occurrence,CHARLOTTE,1697328000000,Cleared by Arrest,Cleared by Arrest,Independence,1697328000000,1697328000000,1697328000000,17,{0C09D76A-648A-4D21-B5CE-34E7EC71CCC1},280,Stolen Property Offenses,20231015-2022-04,35.182131,6500 CONFERENCE DR,Outdoors,-80.752795,202,79,Street/Highway,Open Area,NC,1476295,2023,525837,,Point,-80.75279534886813,35.18213090534164,
Location where officer took report,CHARLOTTE,,Open,Open,Metro,1625356800000,,1625356800000,02,{C06CE27F-FE97-41F6-822A-3E685DCA51E0},899,Other Unlisted Non-Criminal,20210704-1343-02,35.253845,1100 BEATTIES FORD RD,Indoors,-80.856009,311,80,Other - Public/Non-Residential,Public/Non-Residential,NC,1445948,2021,552493,,Point,-80.85600895806438,35.25384522606171,
Location of occurrence,CHARLOTTE,1749513600000,Cleared by Arrest,Cleared by Arrest,Eastway,1749427200000,1749427200000,1749427200000,06,{B74F8B56-4622-4817-881F-8328668D9676},13A,Aggravated Assault,20250609-2343-00,35.239128,2100 DALEHURST DR,Indoors,-80.787267,10,81,Private Residence,Residential,NC,1466370,2025,546761,,Point,-80.78726706256431,35.23912791524821,
Location of occurrence,CHARLOTTE,1712275200000,Cleared by Other Means,Exceptionally Cleared,North,1712102400000,1712102400000,1712102400000,11,{E839CB82-2B66-4F9E-9190-73DE8A969591},35A,Drug/Narcotic Violations,20240403-2355-03,35.301291,1300 PEACHTREE RD,Outdoors,-80.87816,49,82,Private Residence,Residential,NC,1439663,2024,569882,,Point,-80.87815993577131,35.30129081375473,
Location of occurrence,CHARLOTTE,1542672000000,Cleared by Arrest,Cleared by Arrest,Providence,1542672000000,,1542672000000,16,{2A7ACF95-676C-418F-82DD-2805B518A472},13B,Simple Assault,20181120-1945-01,35.200402,200 ORANGE ST,Indoors,-80.808655,370,83,Private Residence,Residential,NC,1459728,2018,532785,28211,Point,-80.80865522242124,35.20040222514654,
Location of occurrence,CHARLOTTE,,Open,Open,Eastway,1726358400000,1726358400000,1726358400000,06,{1A426EB2-EDAF-4C9D-964D-D7BEE034D4A6},13C,Intimidation,20240915-1715-00,35.229021,3300 MAGNOLIA HILL DR,Outdoors,-80.771338,389,84,Apartment/Duplex Private Res,Residential,NC,1471060,2024,542998,28205,Point,-80.7713375063805,35.22902107403071,
Location of occurrence,CHARLOTTE,1498262400000,Cleared by Arrest,Cleared by Arrest,Central,1497398400000,1497398400000,1497571200000,01,{0DE8024B-08AF-4AF8-A076-3DAB8B972F12},13B,Simple Assault,20170616-1000-04,35.226243,300 E TRADE ST,Parking Lot,-80.841973,476,85,Other - Commercial Place,Commercial Place,NC,1449951,2017,542371,28217,Point,-80.84197338184185,35.2262430549653,
Location of occurrence,CHARLOTTE,,Open,Open,North,1491696000000,1491696000000,1491696000000,11,{BA803A41-A61A-4103-8DEA-BCC2B39BA77A},220,Burglary/B&E,20170409-0230-00,35.299543,5900 HAMILTON OAKS DR,Indoors,-80.851366,139,86,Private Residence,Residential,NC,1447644,2017,569096,28216,Point,-80.85136602043237,35.29954345818672,
Location of occurrence,CHARLOTTE,,Open,Open,North Tryon,1669161600000,1669161600000,1669939200000,07,{8BF2EDB8-49EE-4F4A-8954-A2EC398562C0},23H,All Other Thefts,20221202-1929-00,35.266169,500 BILMARK AV,Indoors,-80.780952,371,87,School - Primary or Secondary,Public/Non-Residential,NC,1468432,2022,556567,28213,Point,-80.78095152045437,35.266168914105606,
Location of occurrence,CHARLOTTE,1558483200000,Cleared by Arrest,Cleared by Arrest,Eastway,1558483200000,,1558483200000,06,{0AC0F136-C793-4133-8EB5-1F20C9AD7794},35A,Drug/Narcotic Violations,20190522-1709-02,35.238945,1200 MATHESON AV,Outdoors,-80.800501,343,88,Street/Highway,Open Area,NC,1462418,2019,546766,,Point,-80.80050076036122,35.23894543615118,
Location of occurrence,CHARLOTTE,,Open,Open,Central,1633219200000,1633219200000,1633219200000,01,{F81B08CD-20C6-4D0C-A5D9-F57DA1C1AEB8},13B,Simple Assault,20211003-0423-00,35.232151,500 W 5TH ST,Outdoors,-80.846712,476,89,Apartment/Duplex Private Res,Residential,NC,1448576,2021,544547,,Point,-80.84671238608782,35.232150760269725,
Location of occurrence,CHARLOTTE,,Open,Open,University City,1506124800000,1506124800000,1506124800000,14,{A6D77E5F-D316-4D2E-AFDA-C3FB8F2C68F2},120,Robbery,20170923-2255-00,35.364502,10200 PROSPERITY PARK DR,Outdoors,-80.786843,154,90,Restaurant/Diner/Coffee Shop,Commercial Place,NC,1467318,2017,592381,28269,Point,-80.78684260070482,35.364501541970924,
Location of occurrence,CHARLOTTE,,Open,Open,Freedom,1760054400000,,1760054400000,27,{226A5192-4303-402F-BAC3-898E5FB9B5D0},13C,Intimidation,20251010-1506-07,35.243452,7000 CALTON LN,Outdoors,-80.945039,119,91,Private Residence,Residential,NC,1419300,2025,549220,28214,Point,-80.94503949810435,35.2434520816165,
Location of occurrence,CHARLOTTE,,Open,Open,Steele Creek,1719446400000,1719532800000,1719532800000,21,{45EBB249-3528-4548-AB0E-2B06106780E7},240,Motor Vehicle Theft,20240628-1652-02,35.11825,2000 SHARON OAKS LN,Parking Lot,-80.869807,142,92,Apartment/Duplex Private Res,Residential,NC,1440900,2024,503230,28210,Point,-80.86980720402858,35.11824955403387,
Location where officer took report,CHARLOTTE,,Open,Open,Central,1691020800000,1691971200000,1691971200000,01,{0C33B74E-F9C5-450E-A326-A8C349903FE9},899,Other Unlisted Non-Criminal,20230814-1346-04,35.222915,600 E TRADE ST,Indoors,-80.83802,476,93,Government Building,Public/Non-Residential,NC,1451109,2023,541138,28202,Point,-80.83801998223478,35.22291473134995,
Location of occurrence,CHARLOTTE,,Open,Open,Providence,1654214400000,1654214400000,1654214400000,16,{52875433-85FD-4951-9717-068DD8E58AFC},290,Damage/Vandalism Of Property,20220603-1557-00,35.141781,3600 MAPLE GLENN LN,Outdoors,-80.819322,350,94,Apartment/Duplex Private Res,Residential,NC,1456151,2022,511512,28226,Point,-80.81932217135747,35.14178074607535,
Location of occurrence,CHARLOTTE,1643846400000,Cleared by Arrest,Cleared by Arrest,Metro,1641772800000,,1641772800000,02,{082BD245-34B2-46F4-845D-16CED273F60F},290,Damage/Vandalism Of Property,20220110-1429-05,35.240262,1700 W TRADE ST,Outdoors,-80.858453,382,95,Street/Highway,Open Area,NC,1445126,2022,547564,28216,Point,-80.858452838581,35.24026212637102,
Location of occurrence,CHARLOTTE,,Open,Open,Independence,1597881600000,1597881600000,1597881600000,17,{368EEB49-F644-4ED9-BC1C-51DFFD848AA4},220,Burglary/B&E,20200820-1603-03,35.162758,8100 WOODSCAPE DR,Indoors,-80.748125,246,96,Apartment/Duplex Private Res,Residential,NC,1477566,2020,518763,,Point,-80.74812541501024,35.16275833558339,
Location of occurrence,CHARLOTTE,1713571200000,Unfounded,Unfounded,Providence,1713484800000,1713484800000,1713484800000,16,{3866DAFA-B135-4283-8CE1-67CCCE470DE3},13A,Aggravated Assault,20240419-0235-01,35.184519,1300 DELANE AV,Indoors,-80.78381,394,97,Apartment/Duplex Private Res,Residential,NC,1467045,2024,526871,28211,Point,-80.78380987220677,35.18451884891243,
Location where officer took report,CHARLOTTE,1576627200000,Cleared by Other Means,Exceptionally Cleared,Freedom,1572825600000,,1572825600000,27,{AF09EAC7-E036-4BB7-8C72-CC79D5334587},90Z,All Other Offenses,20191104-1148-01,35.283964,11600 WHITE RAPIDS RD,Indoors,-80.988945,73,98,School - Primary or Secondary,Public/Non-Residential,NC,1406489,2019,564221,,Point,-80.98894482222467,35.28396409742331,
Location of occurrence,CHARLOTTE,1569801600000,Cleared by Other Means,Exceptionally Cleared,Freedom,1568332800000,,1569542400000,27,{106228EF-18D4-4E79-9449-753A9851D6C8},899,Other Unlisted Non-Criminal,20190927-0949-02,35.2631,3800 BROOKSHIRE BV,Indoors,-80.879755,141,99,Gas Station,Retail,NC,1438924,2019,555994,28216,Point,-80.87975499354108,35.263099942535696,
Location of occurrence,CHARLOTTE,,Open,Open,Central,1744243200000,1744243200000,1744502400000,01,{BEB06DF7-EA61-4575-9B75-7A45E47157DF},23F,Theft From Motor Vehicle,20250413-0646-01,35.239125,800 HAMILTON ST,Parking Lot,-80.846418,182,100,Bar/Tavern/Nightclub,Commercial Place,NC,1448711,2025,547083,28206,Point,-80.84641832842469,35.23912453299454,
Location of occurrence,CHARLOTTE,1558051200000,Cleared by Other Means,Exceptionally Cleared,University City,1552608000000,,1552608000000,14,{C5B75168-51C2-4751-B08C-C98E02C157FB},802,Sudden/Natural Death Investigation,20190315-2019-00,35.316385,9500 GLENWATER DR,Indoors,-80.748647,66,101,Private Residence,Residential,NC,1478395,2019,574669,,Point,-80.74864692621682,35.31638545800684,
Location of occurrence,CHARLOTTE,,Open,Open,Independence,1616544000000,,1616544000000,17,{CB6382F9-1BD1-4CEC-AD0B-36B06181E94A},250,Counterfeiting/Forgery,20210324-1304-02,35.134639,1500 GALLERIA BV,Indoors,-80.738243,318,102,Other - Retail,Retail,NC,1480340,2021,508479,,Point,-80.73824269767813,35.134639177974236,
Location of occurrence,CHARLOTTE,1612828800000,Cleared by Arrest,Cleared by Arrest,North Tryon,1612828800000,,1612828800000,07,{A890DDA5-695E-45B7-B5FF-2173615FE83D},13B,Simple Assault,20210209-1928-01,35.252438,5600 RUPERT LN,Indoors,-80.75527,17,103,Private Residence,Residential,NC,1476008,2021,551434,,Point,-80.75527036815511,35.25243818078411,
Location of occurrence,CHARLOTTE,1701993600000,Cleared by Other Means,Exceptionally Cleared,North,1700870400000,1700870400000,1701302400000,11,{17C815DA-ECA0-4FA1-9930-A607C288A28D},899,Other Unlisted Non-Criminal,20231130-1649-00,35.331725,4100 DOUBLE CREEK CROSSING DR,Outdoors,-80.80189,279,104,Apartment/Duplex Private Res,Residential,NC,1462616,2023,580535,,Point,-80.80189046892825,35.331725156373274,
Location of occurrence,CHARLOTTE,,Open,Open,Central,1557792000000,1557878400000,1557878400000,01,{AB213203-1FD5-4728-BA1D-12C25D2D5ECA},240,Motor Vehicle Theft,20190515-0926-00,35.226304,600 N ALEXANDER ST,Indoors,-80.831083,476,105,Apartment/Duplex Private Res,Residential,NC,1453203,2019,542333,,Point,-80.8310833970896,35.22630395929616,
Location of occurrence,CHARLOTTE,,Open,Open,University City,1555545600000,1555545600000,1555545600000,14,{C5C3829A-7709-4CCA-A09D-831E2D2CAEAF},23H,All Other Thefts,20190418-0702-01,35.303235,8500 N TRYON ST,Parking Lot,-80.751401,331,106,Hotel/Motel,Commercial Place,NC,1477489,2019,569898,28262,Point,-80.75140144557004,35.303234668983286,
Location of occurrence,CHARLOTTE,1580515200000,Cleared by Other Means,Exceptionally Cleared,Westover,1580169600000,1580169600000,1580256000000,26,{7945B83B-780B-42A5-AD4A-5CC1471CD7CD},899,Other Unlisted Non-Criminal,20200129-1312-02,35.207584,5700 LEAKE ST,Outdoors,-80.917419,306,107,Apartment/Duplex Private Res,Residential,NC,1427293,2020,536008,28208,Point,-80.917419208271,35.20758397018262,
Location of occurrence,CHARLOTTE,1552694400000,Cleared by Other Means,Exceptionally Cleared,Independence,1552694400000,1552694400000,1552694400000,17,{52DC212C-7313-4979-9348-0D1B496B6DFB},807,Public Accident,20190316-1643-02,35.152822,2500 CROSS POINT CR,Parking Lot,-80.727783,107,108,Apartment/Duplex Private Res,Residential,NC,1483582,2019,515041,28105,Point,-80.72778252022923,35.15282235767729,
Location of occurrence,CHARLOTTE,1574208000000,Cleared by Other Means,Exceptionally Cleared,North,1573257600000,1573257600000,1573257600000,11,{71232A6C-A294-4888-8652-C5541448DC34},899,Other Unlisted Non-Criminal,20191109-1348-00,35.366902,5700 PROSPERITY CROSSING DR,Indoors,-80.788989,250,109,Hospital/Medical Facility,Public/Non-Residential,NC,1466694,2019,593266,28269,Point,-80.78898880282851,35.366901896349724,
Location of occurrence,CHARLOTTE,1698019200000,Cleared by Other Means,Exceptionally Cleared,University City,1697673600000,1697673600000,1697673600000,14,{30D065C1-840B-465F-B057-2C6C61355B7F},35A,Drug/Narcotic Violations,20231019-1235-00,35.291746,8600 MEADOW VISTA RD,Indoors,-80.735659,64,110,Apartment/Duplex Private Res,Residential,NC,1482112,2023,565635,,Point,-80.73565900310919,35.291746387386496,
Location of occurrence,CHARLOTTE,1538784000000,Cleared by Arrest,Cleared by Arrest,Steele Creek,1537660800000,1537660800000,1537660800000,21,{FF20789C-23E8-4B44-BB64-9E242165CABE},13B,Simple Assault,20180923-0106-01,35.124,1900 BEECHTREE CT,Indoors,-80.869909,12,111,Apartment/Duplex Private Res,Residential,NC,1440909,2018,505323,28210,Point,-80.8699089451299,35.123999957556826,
Location of occurrence,CHARLOTTE,1662249600000,Cleared by Arrest,Cleared by Arrest,University City,1662249600000,,1662249600000,14,{5534E1AB-0A61-4FEC-B646-D526EA2E9267},13C,Intimidation,20220904-1347-04,35.355923,2100 MALLARD GREEN PL,Indoors,-80.744341,152,112,Public Housing Private,Residential,NC,1479932,2022,589034,28262,Point,-80.74434141970941,35.35592315610245,
Location of occurrence,CHARLOTTE,,Open,Open,Central,1559779200000,1559779200000,1559779200000,01,{21FC4084-7F32-475A-932E-6A61865501CB},23C,Shoplifting,20190606-2046-02,35.226243,200 E TRADE ST,Indoors,-80.841973,476,113,Department Store,Retail,NC,1449951,2019,542371,,Point,-80.84197338184185,35.2262430549653,
Location of occurrence,CHARLOTTE,1507939200000,Victim Chose not to Prosecute,Exceptionally Cleared,Westover,1506124800000,1506124800000,1506124800000,26,{6980F454-3C4A-4A6E-97CD-94F38AA90DD5},13B,Simple Assault,20170923-2209-01,35.165019,1500 SENECA PL,Outdoors,-80.850265,393,114,Apartment/Duplex Private Res,Residential,NC,1447060,2017,520139,28209,Point,-80.85026488805033,35.165019431412404,
Location of occurrence,CHARLOTTE,,Open,Open,Independence,1489276800000,,1489363200000,17,{729AF19C-17D6-4F7E-81F8-D8EF15C47205},23C,Shoplifting,20170313-1053-01,35.137639,1800 GALLERIA BV,Indoors,-80.735232,287,115,Other - Retail,Retail,NC,1481259,2017,509555,28270,Point,-80.73523221227016,35.13763943177309,
Location of occurrence,CHARLOTTE,1757635200000,Cleared by Arrest,Cleared by Arrest,Independence,1757635200000,1757635200000,1757635200000,17,{70C3E36F-3D29-4B0D-8423-A3F040B634F8},90D,Driving Under The Influence,20250912-0329-00,35.189478,5400 MONROE RD,Outdoors,-80.772517,52,116,Street/Highway,Open Area,NC,1470451,2025,528615,,Point,-80.77251657481176,35.18947767046797,
Location of occurrence,CHARLOTTE,,Open,Open,University City,1488758400000,1489104000000,1490918400000,14,{B707B3F9-37C2-494E-9B3C-285171079A99},26B,Credit Card/Teller Fraud,20170331-1038-03,35.33416,11200 N TRYON ST,Indoors,-80.719669,155,117,ATM,Commercial Place,NC,1487150,2017,580986,,Point,-80.7196690984237,35.334159744466405,
Location of occurrence,CHARLOTTE,1606867200000,Unfounded,Unfounded,North,1606780800000,1606780800000,1606780800000,11,{E26A8AA3-6B13-4FB8-9171-0CFCDA0BBEAF},220,Burglary/B&E,20201201-1535-02,35.306465,4300 MONTGOMERY GARDENS DR,Indoors,-80.85684,260,118,Apartment/Duplex Private Res,Residential,NC,1446058,2020,571645,,Point,-80.85684046734163,35.3064645678108,
Location of occurrence,CHARLOTTE,1672963200000,Cleared by Other Means,Exceptionally Cleared,Independence,1672876800000,,1672876800000,17,{D74D0D4C-EEE4-4370-86E8-84D5EFB927F4},899,Other Unlisted Non-Criminal,20230105-1035-02,35.188166,4500 ELM FIELD CT,Indoors,-80.725616,268,119,Private Residence,Residential,NC,1484453,2023,527891,,Point,-80.72561625992107,35.1881664868621,
Location of occurrence,CHARLOTTE,1661990400000,Cleared by Other Means,Exceptionally Cleared,Hickory Grove,1660953600000,1661299200000,1661299200000,12,{BD2DA121-7F71-465A-84DB-1E99834E7B50},803,Overdose,20220824-0340-01,35.223212,8200 HEALTHCARE LP,Indoors,-80.646008,228,120,Hospital/Medical Facility,Public/Non-Residential,NC,1508446,2022,540240,28215,Point,-80.64600831803865,35.22321216375081,
Location of occurrence,CHARLOTTE,,Open,Open,Steele Creek,1749513600000,1749600000000,1749772800000,21,{9DA6D8B3-6EB3-409E-9868-D5BB9CE88DEB},23H,All Other Thefts,20250613-1106-01,35.133927,2200 SILVER CRESCENT DR,Outdoors,-80.931531,92,121,Office,Commercial Place,NC,1422557,2025,509288,28273,Point,-80.93153091555632,35.13392717808747,
Location of occurrence,CHARLOTTE,,Open,Open,Eastway,1678924800000,1678924800000,1678924800000,06,{83C4C628-2B66-48B9-BA0F-226D1095063E},23H,All Other Thefts,20230316-2022-00,35.21999,2100 CENTRAL AV,Outdoors,-80.806726,315,122,Public Park/Playground,Open Area,NC,1460434,2023,539902,,Point,-80.80672586171296,35.21998951768925,
Location of occurrence,CHARLOTTE,1576627200000,Cleared by Other Means,Exceptionally Cleared,Steele Creek,1576281600000,,1576281600000,21,{53BD4C4A-8721-4BDE-BA28-6671B0F2F42E},899,Other Unlisted Non-Criminal,20191214-0615-00,35.128028,800 PEACEFUL GLEN RD,Indoors,-80.904781,94,123,Other - Residential,Residential,NC,1430512,2019,506987,28217,Point,-80.90478057081629,35.12802821167497,
Location of occurrence,CHARLOTTE,1663459200000,Cleared by Arrest,Cleared by Arrest,North,1638057600000,1638057600000,1638057600000,11,{0334B780-5FBC-464E-BE01-326FDB87DE1C},13C,Intimidation,20211128-2108-03,35.311723,4600 SPRING TRACE DR,Indoors,-80.835517,237,124,Private Residence,Residential,NC,1452454,2021,573440,28269,Point,-80.83551692054452,35.31172252299507,
Location of occurrence,CHARLOTTE,,Open,Open,North,1559260800000,1559347200000,1559433600000,11,{3E2125C6-FBDA-4462-93E7-A1B2FF67B93B},23F,Theft From Motor Vehicle,20190602-1941-02,35.333516,4200 WATERFORD VALLEY CR,Indoors,-80.801762,278,125,Private Residence,Residential,NC,1462666,2019,581186,28269,Point,-80.80176246683078,35.33351605483887,
